TestId,TestStatus,serial.port,comport_binding,interface,ser.baudrate,ser.bytesize,ser.parity,ser.stopbits,ser.xonxoff,ser.rtscts,ser.dsrdtr,host,tcp.port,packet.length,iterations,FileSend
1,TRUE,COM4,data1,rs232,75,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
2,TRUE,COM4,data1,rs232,110,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
3,TRUE,COM4,data1,rs232,134,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
4,TRUE,COM4,data1,rs232,150,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
5,TRUE,COM4,data1,rs232,200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
6,TRUE,COM4,data1,rs232,300,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
7,TRUE,COM4,data1,rs232,600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
8,TRUE,COM4,data1,rs232,1200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
9,TRUE,COM4,data1,rs232,1800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
10,TRUE,COM4,data1,rs232,2400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
11,TRUE,COM4,data1,rs232,4800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
12,TRUE,COM4,data1,rs232,9600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
13,TRUE,COM4,data1,rs232,19200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
14,TRUE,COM4,data1,rs232,38400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
15,TRUE,COM4,data1,rs232,57600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
16,TRUE,COM4,data1,rs232,115200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
17,TRUE,COM4,data1,rs232,75,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
18,TRUE,COM4,data1,rs232,110,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
19,TRUE,COM4,data1,rs232,134,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
20,TRUE,COM4,data1,rs232,150,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
21,TRUE,COM4,data1,rs232,200,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
22,TRUE,COM4,data1,rs232,300,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
23,TRUE,COM4,data1,rs232,600,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
24,TRUE,COM4,data1,rs232,1200,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
25,TRUE,COM4,data1,rs232,1800,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
26,TRUE,COM4,data1,rs232,2400,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
